sample,Hash,nReads
TW07C.2,c77678ba55303523ebfb97073b6920fb80c7b9db,195
TW07C.2,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,114
TW07C.2,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,16
TW07C.2,11a112ced1c85e620f6d97d82281a1bb58614e67,5
TW07C.2,bc6b1aeae602820e9af67763214c3b38c6d34f7c,78
TW07C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,8
TW07C.2,7a57c9dbd7b24dce9db21f770aa8a31dab53051b,5
TW07C.2,6dbe3cfb86fd77e6adb9ae94f9037cb3f6850488,9
TR07B.3,c77678ba55303523ebfb97073b6920fb80c7b9db,177
TR07B.3,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,112
TR07B.3,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,14
TR07B.3,9c1b08211a76599faa4a6763b8c564f85d586b36,82
TR07B.3,bc6b1aeae602820e9af67763214c3b38c6d34f7c,21
TR07B.3,b3b7552ad4cb087f2533f45f05c840503002203e,3
TR07B.3,94226c24e7e007ecc8810dbf0f907b3491a1621d,6
TR07B.3,bb2809beac4b0e844070fb7dcd7c5a6c13504c67,3
PO07C.2,c77678ba55303523ebfb97073b6920fb80c7b9db,125
PO07C.2,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,144
PO07C.2,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,49
PO07C.2,9c1b08211a76599faa4a6763b8c564f85d586b36,87
PO07C.2,11a112ced1c85e620f6d97d82281a1bb58614e67,52
PO07C.2,bc6b1aeae602820e9af67763214c3b38c6d34f7c,29
PO07C.2,b3b7552ad4cb087f2533f45f05c840503002203e,25
PO07C.2,a644ed8693c9adf31b5b45f57375a2e5493ef6da,8
PO07C.2,4d4d8e1854804b5718a347fd5bf9af41f04cd739,6
PO07C.2,f1ca50537bbdc21ccfc760942feab77ccd5532bb,6
PO07C.2,179ce671ea3ef78931776bc68ca1ae15cba6c563,5
PO07C.2,a55f760aa6a6ee0f925c0e7341fed52678435c7a,2
PO07C.2,81c0354d62ea904600c11f40ec083079d953aec8,8
PO08A.1,c77678ba55303523ebfb97073b6920fb80c7b9db,41
PO08A.1,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,27
PO08A.1,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,158
PO08A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,67
PO08A.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,84
PO08A.1,1fe96f710bb347b06871a3fb6513562d8d48de76,67
PO08A.1,bccac54ad7babc9191848eab06023ee35501cc72,58
PO08A.1,1224da688c3d6f0161bb02af5104f978c7e6348c,43
PO08A.1,e99d1668c1d0134c149b205d148ef407abb3e995,63
PO08A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,17
PO08A.1,2b08d18b5073585a8e633ca09edac896fb0fd9e5,27
PO08A.1,4b06f2cea79cc95277be1e8a11f135aa9825ae44,37
PO08A.1,9bef20394cc1e5c27e07e8d69843c2b3bd0d162c,15
PO08A.1,ef58fe9819f05f8ed8d0d5eefa403637f33fb10c,9
PO08A.1,7a57c9dbd7b24dce9db21f770aa8a31dab53051b,14
PO08A.1,3e248fd0cee6b597584b8cae690db35418161d5b,12
PO08A.1,d8ed22edb9b4c9c2eccdde41cecb635458209e93,11
PO08A.1,95da530ef60b2b1d10b3f0735d0c4e87f5ab7106,9
PO08A.1,7f32997f5080554dd4b382fde4d0a88878c386e6,5
PO08A.1,29a25f59c9ab313dba122a19685cb555355f2415,5
PO08A.1,7e7e3c444e485b1ef8a2ba9be584a5691c6ef8e9,7
PO08A.1,79d44e958bb8dfea54fceed59d60e6c0f82803c2,6
TW08A.2,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,80
TW08A.2,9c1b08211a76599faa4a6763b8c564f85d586b36,6
TW08A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,36
TW08A.2,a31d4e16bf8a39f654272a1186dba2dda26ab921,57
TW08A.2,bccac54ad7babc9191848eab06023ee35501cc72,27
TW08A.2,e99d1668c1d0134c149b205d148ef407abb3e995,10
TW08A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,8
TW08A.2,bdaec3b26f101e12dd517b77ce3afd80dad3f0a2,30
TW08A.2,9bef20394cc1e5c27e07e8d69843c2b3bd0d162c,4
TW08A.2,ef58fe9819f05f8ed8d0d5eefa403637f33fb10c,11
TW08A.2,3e248fd0cee6b597584b8cae690db35418161d5b,4
TW08A.2,64ea39f82f15850a00dcfe5064857ee9926c970d,8
TW08A.2,a4289b6baaabb9e61beae114c433c65eceac82c0,5
TW08A.2,f993cca907de090f852516c97975aff27e4d8184,2
TR07C.2,c77678ba55303523ebfb97073b6920fb80c7b9db,171
TR07C.2,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,137
TR07C.2,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,20
TR07C.2,9c1b08211a76599faa4a6763b8c564f85d586b36,105
TR07C.2,11a112ced1c85e620f6d97d82281a1bb58614e67,11
TR07C.2,bc6b1aeae602820e9af67763214c3b38c6d34f7c,13
TR07C.2,422d4fe71439b6a3fcf11eb88b4b6470aeccf522,5
TR07C.2,b3b7552ad4cb087f2533f45f05c840503002203e,26
TR07C.2,94226c24e7e007ecc8810dbf0f907b3491a1621d,10
TR07C.2,fe741eacccd370d7a3b2a4a7b71e706d023d05ec,4
TR07C.2,29a25f59c9ab313dba122a19685cb555355f2415,2
TR07C.2,a7066d42cd68d60cb0211beae6c63fadede0092c,5
TR07C.2,cedfd8e3aa1835541f5c4841fc86dbb967d9800c,4
SA08C.2,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,29
SA08C.2,a31d4e16bf8a39f654272a1186dba2dda26ab921,23
SA08C.2,1fe96f710bb347b06871a3fb6513562d8d48de76,36
SA08C.2,422d4fe71439b6a3fcf11eb88b4b6470aeccf522,74
SA08C.2,5ea3e5f9f5b217b39bc303871d907b6536ed24fa,63
SA08C.2,f844a3dc3d541c27fc54fa31734c4b2f061c00c2,57
SA08C.2,ef58fe9819f05f8ed8d0d5eefa403637f33fb10c,7
SA08C.2,fafd5f8e7953c382da2df53eb7c7006d2e0b7677,19
SA08C.2,6c00654b15e89b436848e8609581cfc9e9174448,13
SA08C.2,0e7ba2ca510850a640ae27b14525a078d80f06ed,8
SA08C.2,fe741eacccd370d7a3b2a4a7b71e706d023d05ec,2
SA08C.2,391312bf9c2c070b0d1afdbc609959fec1c1773a,2
SA08C.2,0aa2129aae93abb42217fbe46d28e5231af978bf,4
SA08C.2,69574d05362ce02e1ba5067abec4a45cab1a34c8,3
